n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
28,0.6120612000000001,0.0010479498842979305,0.6339858,0.0022800597711463808
29,0.6089241999999999,0.0009284471767418883,0.6315510000000001,0.002249326921547885
30,0.6061446,0.0008603505332130676,0.6294000000000001,0.0022268966747471496
31,0.6033048000000001,0.0008350672787266906,0.6272312,0.002164231909939422
32,0.6008362,0.0008578543932393438,0.6254182,0.002137982637908918
33,0.5983264000000001,0.0008010769251451629,0.6234679999999999,0.002284899735218132
34,0.5958994000000001,0.0009695886963037212,0.6217378,0.0024172826396596614
35,0.5934472000000001,0.0009958327972104317,0.6199269999999999,0.0023408876094336427
36,0.5912274,0.0011188134071416775,0.6183107999999999,0.002248536181607907
37,0.589036,0.0012216829375906136,0.616783,0.002248735822634582
38,0.5869956000000001,0.0010454695787061167,0.6153014,0.002298617897781215
39,0.5851354,0.0010701916837651123,0.6140675999999999,0.002273414137371398
40,0.5831715999999999,0.001135297599750829,0.6128058,0.002297666590260655
41,0.5813249999999999,0.0012174821559267203,0.6116948,0.0022546479459108473
42,0.5793988,0.001262271032702573,0.6104126,0.002228374528664343
43,0.5778378,0.0012596566833863625,0.6093881999999999,0.0021961791730184415
44,0.5760766,0.001188099423449065,0.6082948,0.0023595228670220646
45,0.5744382,0.0011755869002332499,0.6072742,0.002294121827628183
46,0.5729584,0.001101816790578188,0.6064100000000001,0.0023592347911981872
47,0.5715048,0.0010553295978034235,0.6055710000000001,0.002434468155470495
48,0.5700285999999999,0.0011694495457265414,0.6047298,0.0023773856565563914
49,0.5686576000000001,0.0010341629658811,0.6038538,0.002545180182226807
50,0.5672952,0.0010025901256246338,0.6029996000000001,0.0024713506104961933
51,0.5658877999999999,0.0011725540328701256,0.6023073999999999,0.0024080748825566025
52,0.5646610000000001,0.0011713631375453064,0.601648,0.0023992192896857114
53,0.563428,0.0010073767914737636,0.6009241999999999,0.0025685072240505887
54,0.5620554,0.0009917137893565716,0.6001909999999999,0.0025928264886027463
55,0.5607544,0.0009696487198980814,0.5994919999999999,0.0027206036094955133
56,0.5595024000000001,0.001007429918158074,0.5988348,0.00282409839771916
57,0.5583013999999998,0.0009040107521484546,0.5982087999999999,0.0029826926358577236
58,0.5571918,0.0010338791805621981,0.5976226,0.0029473191615432587
59,0.5560312,0.0010648856088801193,0.597073,0.0029525021930559073
60,0.5547668,0.0010195470366785296,0.5964356,0.0030207649759621943
61,0.5539016,0.0011331036316242283,0.5959992000000001,0.0030129408490709164
62,0.5528793999999999,0.001013433293315348,0.5955144000000001,0.0030268775066064537
63,0.5518078,0.0009858422591875525,0.5950266,0.0031150471970742403
64,0.5507540000000001,0.0010540005692598238,0.5945518,0.00317485410058478
65,0.549806,0.0011476335652114641,0.5940898,0.003155374931763251
66,0.548695,0.0010686078794394033,0.5935196000000001,0.0032769272558297756
67,0.5478602,0.0011114267227307578,0.5931881999999999,0.0033327016908208445
68,0.5468649999999999,0.001197783786832994,0.5927069999999999,0.003267717184824903
69,0.5458192000000001,0.00125462542617309,0.5922917999999999,0.0032760182783372824
70,0.544937,0.0012482123216824743,0.5919014,0.0032027644683928903
71,0.5440338,0.0010338524846417636,0.59154,0.0033080849444957973
72,0.5430775999999999,0.0008461221188457242,0.5911554,0.003383215665605714
73,0.5420622,0.0008357701597927392,0.59074,0.0034053231858371417
74,0.5411704,0.000787243697974144,0.5903364,0.0034837755151559454
75,0.540292,0.0007899587330994164,0.5899866,0.0035087470470240704
76,0.5394282,0.0007808788382329349,0.5896364000000001,0.003513865256380805
77,0.5385206,0.0008755507066983825,0.5892106,0.0035650291780012218
78,0.5377562000000001,0.0008997469422009854,0.5889900000000001,0.003495684539543008
79,0.5369444000000001,0.0010299533193305252,0.5886728000000001,0.003496480653457116
80,0.5360833999999999,0.0009910934567436247,0.5883004000000001,0.0035638924001714883
81,0.5352418,0.0008696469168576131,0.5879998,0.003612986543013969
82,0.5344328,0.0008317202414273667,0.5876344,0.003638149672567075
83,0.5335696000000001,0.0008244381359447187,0.5873412,0.003678398749456072
84,0.5326736000000001,0.0009182933300422095,0.5869974,0.0036095664892061546
85,0.5318638,0.0009363412625746865,0.5867394,0.0035621742012428314
86,0.5310756000000001,0.0010354837709978919,0.5865438000000001,0.003492024478722911
87,0.5303159999999999,0.0010705434134121016,0.5862218,0.003543162621162084
88,0.529628,0.0011631445310020664,0.5859712,0.0034821900235340406
89,0.5288752,0.0012506518940136482,0.5857482,0.0033929597345090717
90,0.5281614,0.001261196352674713,0.5855765999999999,0.0034547737176260874
91,0.5274886000000001,0.0012069720129315494,0.585348,0.003454680593050542
92,0.5267215999999999,0.001070557723805688,0.585086,0.0034932945481307522
93,0.526056,0.0010909898258004182,0.5848844,0.003530248523829444
94,0.5252836000000001,0.0011143867551258687,0.5846549999999999,0.0035491211869982603
95,0.5245688,0.0011859508252874658,0.5845004,0.003589872788832509
